address,city,country,name,postalCode,province
659 Hogan Rd Ste 13,Bangor,US,Quiznos,4401,ME
2820 Niles Ave,Saint Joseph,US,McDonald's,49085,MI
1224 S Mission,Mount Pleasant,US,Arby's,48858,MI
410 Lovell Rd,Knoxville,US,Krystal,37934,TN
8550 Roswell Road,Atlanta,US,Bojangles' Famous Chicken 'n Biscuits,30350,GA
299 S Euclid St,Anaheim,US,KFC,92802,CA
325 Huntersville Gateway Blvd,Huntersville,US,Bojangles' Famous Chicken 'n Biscuits,28078,NC
7450 Garners Ferry Rd,Columbia,US,Rush's,29209,SC
1212 Manchester Expy,Columbus,US,Captain D's,31904,GA
535 Dillingham Blvd,Honolulu,US,Jack in the Box,96817,HI
1129 11th Ave,Honolulu,US,Subway,96816,HI
641 Louis Henna Blvd,Round Rock,US,KFC,78664,TX
24805 Pico Canyon Rd,Stevenson Ranch,US,El Pollo Loco,91381,CA
908 Valley Ridge Blvd,Lewisville,US,Burger King,75077,TX
580 Old San Antonio Rd,Buda,US,Taco Bell,78610,TX
4600 7th St,Bay City,US,McDonald's,77414,TX
8940 W Sam Houston Pky,Houston,US,McDonald's,77040,TX
17730 Collins Ave,North Miami Beach,US,McDonald's,33160,FL
1468 Nc Highway 66 S,Kernersville,US,Wendy's,27284,NC
4250 Linden Ave,Dayton,US,Burger King,45432,OH
7607 Troy Pike,Dayton,US,Burger King,45424,OH
5550 Tinker Diagonal,Oklahoma City,US,Carl's Jr,73115,OK
2450 Possum Run Rd,Mansfield,US,Wendy's,44903,OH
1900 Mountain Rd,Tucumcari,US,Arby's,88401,NM
202 S Mccleary Rd,Excelsior Springs,US,Burger King,64024,MO
2303 Vintage Ct,Excelsior Springs,US,Arby's,64024,MO
1744 W Jesse James Rd,Excelsior Springs,US,KFC,64024,MO
4381 Winston Ave,Latonia,US,Long John Silvers,41015,KY
14350 Livernois Ave,Detroit,US,Checkers,48238,MI
45 Gouverneur St,Canton,US,Dairy Queen,13617,NY
1811 Monmouth St,Newport,US,White Castle,41071,KY
4951 Cornell Rd,Cincinnati,US,Arby's,45242,OH
1220 N 6th St,Beatrice,US,McDonald's,68310,NE
2205 N 6th St,Beatrice,US,Arby's,68310,NE
1510 N Burlington Ave,Hastings,US,McDonald's,68901,NE
401 S Burlington Ave,Hastings,US,Arby's,68901,NE
9065 Union Cemetery Rd,Cincinnati,US,Burger King,45249,OH
5165 Pleasant Ave,Fairfield,US,Burger King,45014,OH
1454 Main St,Hamilton,US,Burger King,45013,OH
649 E State St,Georgetown,US,Burger King,45121,OH
1340 E Kemper Rd,Cincinnati,US,Burger King,45246,OH
1402 SE 3rd St,Aledo,US,McDonald's,61231,IL
9270 Plainfield Rd,Cincinnati,US,Taco Bell,45236,OH
4382 Indian Ripple Rd,Dayton,US,Waffle House,45440,OH
5600 Executive Blvd,Dayton,US,Waffle House,45424,OH
7800 Brandt Pike,Dayton,US,Waffle House,45424,OH
4912 Springboro Pike,Dayton,US,Waffle House,45439,OH
7680 Brandt Pike,Dayton,US,McDonald's,45424,OH
2480 N Fairfield Rd,Dayton,US,KFC,45431,OH
24 Carothers Rd,Newport,US,Gold Star Chili,41071,KY
3573 Springdale Rd,Cincinnati,US,Arby's,45251,OH
2231 Beechmont Ave,Cincinnati,US,Gold Star Chili,45230,OH
4508 College Ave,Snyder,US,Taco Bell,79549,TX
410 A St NE,Linton,US,Wendy's,47441,IN
1459 A St NE,Linton,US,Taco Bell,47441,IN
7150 Alexandria Pike,Alexandria,US,Arby's,41001,KY
1000 Valley St,Minerva,US,KFC,44657,OH
2010 Bloomingdale Ave,Valrico,US,Chick-fil-A,33596,FL
423 Mary Esther Cutoff,Fort Walton Beach,US,Moe's Southwest Grill,32548,FL
5110 E Southern Ave Ste 112,Mesa,US,Quiznos,85206,AZ
2707 South Main,High Point,US,Bojangles' Famous Chicken 'n Biscuits,27260,NC
601 Kasold Dr,Lawrence,US,Jimmy John's,66049,KS
920 W Beale St,Kingman,US,Wendy's,86401,AZ
3265 E Andy Devine Rd,Kingman,US,Arby's,86401,AZ
946 W Beale St,Kingman,US,Popeyes Chicken and Biscuits,86401,AZ
31305 Southfield Rd,Franklin,US,Taco Bell,48025,MI
1060 Highway 20,Mountain Home,US,KFC,83647,ID
6770 N Glenwood St,Garden City,US,Burger King,83714,ID
2923 Cleveland Blvd,Caldwell,US,McDonald's,83605,ID
8117 W Chinden Blvd,Garden City,US,Arby's,83714,ID
305 Cornelia St,Plattsburgh,US,Burger King,12901,NY
367 Cornelia St,Plattsburgh,US,Taco Bell,12901,NY
6375 S Pecos Rd,Las Vegas,US,Dominos Pizza,89120,NV
2598 Idaho St,Elko,US,Pizza Barn,89801,NV
2423 Mountain City Hwy,Elko,US,Jack in the Box,89801,NV
250 S Highway 160 Ste B6,Pahrump,US,Domino's Pizza,89048,NV
1030 Main Street,Waltham,US,Five Guys,2451,MA
5391 Transit Rd,Depew,US,Burger King,14043,NY
5345 Transit Rd,Buffalo,US,Burger King,14221,NY
111 N Morningside Drive,Cartersville,US,Krystal,30120,GA
29 Hickories Park Rd,Owego,US,McDonald's,13827,NY
429 Court St,Binghamton,US,Taco Bell,13904,NY
3737 Vestal Pkwy E,Vestal,US,Wendy's,13850,NY
290 Main St,Binghamton,US,Burger King,13905,NY
2507 Vestal Pkwy E,Vestal,US,Taco Bell,13850,NY
803 State Route 17C,Owego,US,KFC,13827,NY
790 Bell Rd,Antioch,US,Waffle House,37013,TN
851 2nd Ave,Troy,US,Burger King,12182,NY
25737 US Route 11,Evans Mills,US,Taco Bell,13637,NY
623 Butternut St,Syracuse,US,Burger King,13208,NY
222 S Second St,Fulton,US,Arby's,13069,NY
104 Elwood Davis Rd,Syracuse,US,Burger King,13212,NY
4734 Onondaga Blvd,Syracuse,US,Burger King,13219,NY
3603 Brewerton Rd,Syracuse,US,Burger King,13212,NY
127 Genesee St,Oneida,US,KFC,13421,NY
274 Genesee St,Oneida,US,McDonald's,13421,NY
2234 Downer Street Rd,Baldwinsville,US,McDonald's,13027,NY
560 Lyell Ave,Rochester,US,Burger King,14606,NY
2341 Ridge Rd W,Rochester,US,McDonald's,14626,NY
250 East Main St,Avon,US,McDonald's,14414,NY
106 S Madison St,Rome,US,Burger King,13440,NY
413 Black River Rd,Rome,US,Arby's,13440,NY
235 Erie Blvd W,Rome,US,KFC,13440,NY
1700 Black River Blvd N,Rome,US,Burger King,13440,NY
26 Oriskany Blvd,Whitesboro,US,Burger King,13492,NY
1801 Genesee Street,Utica,US,Arby's,13501,NY
1340 N Highway 377,Roanoke,US,Taco Casa,76262,TX
713 Conant St,Maumee,US,Burger King,43537,OH
1715 E Perry St,Port Clinton,US,Burger King,43452,OH
5 S Reynolds Rd,Toledo,US,Church's Chicken,43615,OH
5120 U.S. 60 East,Huntington,US,Fazoli's,25705,WV
2850 Winchester Ave,Ashland,US,Taco Bell,41101,KY
617 23rd St,Ashland,US,Wendy's,41101,KY
2125 5th Avenue,Huntington,US,Arby's,25701,WV
410 Russell Rd,Ashland,US,Taco Bell,41101,KY
1065 Ironton Hill Drive,Ironton,US,Taco Bell,45638,OH
4855 Liberty Ave,Vermilion,US,Burger King,44089,OH
2027 Maysville Ave,Zanesville,US,Wendy's,43701,OH
3111 Maple Ave,Zanesville,US,Wendy's,43701,OH
207 E Walton St,Willard,US,Mcdonald's,44890,OH
1148 S Conwell Ave,Willard,US,Burger King,44890,OH
12216 N Pennsylvania Ave,Oklahoma City,US,McDonald's,73120,OK
2565 Maple Ave,Zanesville,US,Burger King,43701,OH
2700 12th Avenue NW,Ardmore,US,Arby's,73401,OK
2608 S I 35 Service Rd,Oklahoma City,US,Taco Bell,73129,OK
501 S Main St,Sapulpa,US,KFC,74066,OK
1016 E 6th St,Okmulgee,US,KFC,74447,OK
4508 Gallia Street,Portsmouth,US,Arby's,45662,OH
301 W Shawnee St,Muskogee,US,Taco Bueno,74401,OK
3619 West Main Street,Durant,US,SONIC Drive In,74701,OK
500 S George Nigh Expy,Mcalester,US,Wendy's,74501,OK
1113 W 3rd St,Elk City,US,Taco Bell,73644,OK
761 Lockhaven Dr NE,Salem,US,Dairy Queen,97303,OR
3615 River Rd N,Salem,US,Burger King,97303,OR
2323 Lancaster Dr Ne,Salem,US,Five Guys,97305,OR
605 West C Street,Silverton,US,Taco Bell,97381,OR
2910 Newburg Hwy,Woodburn,US,McDonald's,97071,OR
3280 Oak Bluff Ln,Jacksonville,US,Chick-Fil-A,32257,FL
3117 S McKenzie St,Foley,US,Five Guys,36535,AL
7775 Moffett Rd,Mobile,US,Burger King,36618,AL
2415 Schillinger Rd South,Mobile,US,Mcdonald's,36695,AL
2545 Cong W L Dickinson Dr,Montgomery,US,Wendy's,36109,AL
2280 7th Street South,Clanton,US,Whataburger,35045,AL
2203 Ross Clark Cir,Dothan,US,Burger King,36301,AL
2794 Ross Clark Circle,Dothan,US,Bojangles' Famous Chicken 'n Biscuits,36301,AL
2100 Ross Clark Cir,Dothan,US,Wendy's,36301,AL
3056 Ross Clark Cir,Dothan,US,Taco Bell,36301,AL
3430 S Oates St,Dothan,US,Arby's,36301,AL
4037 West Main St,Dothan,US,Arby's,36303,AL
1880 McFarland Blvd,Northport,US,Taco Bell,35476,AL
2130 Quintard Ave,Anniston,US,Taco Bell,36201,AL
39 Horse Creek Blvd,Dora,US,Taco Bell,35062,AL
2510 E Expressway 83,Mission,US,Whataburger,78572,TX
2114 E Grand Ave,Laramie,US,Taco John's,82070,WY
1915 Freedom Rd,Little Chute,US,Tom's Drive In,54140,WI
1420 Losey Blvd S,La Crosse,US,Jimmy John's,54601,WI
4422 Mormon Coulee Rd,La Crosse,US,Wendy's,54601,WI
515 4th St N,La Crosse,US,Burger King,54601,WI
3519 Mormon Coulee Rd,La Crosse,US,Burger King,54601,WI
2810 Losey Blvd S,La Crosse,US,McDonald's,54601,WI
13712 Northwestern Ave,Franksville,US,Arby's,53126,WI
13348 Washington Ave,Sturtevant,US,Burger King,53177,WI
617 Division St,Stevens Point,US,Hardee's,54481,WI
3132 Church St,Stevens Point,US,Hardee's,54481,WI
790 W Johnson St,Fond Du Lac,US,Burger King,54935,WI
66 Valley St,Salem,US,Domino's Pizza,26426,WV
600 Emily Dr,Clarksburg,US,Burger King,26301,WV
1001 Morgantown Ave,Fairmont,US,Domino's Pizza,26554,WV
2764 White Hall Blvd,Fairmont,US,McDonald's,26554,WV
323 N Court St,Fayetteville,US,Tudor's Biscuit World,25840,WV
207 W 2nd St,Gillette,US,Domino's Pizza,82716,WY
910 S McKenzie St,Foley,US,Burger King,36535,AL
620 McMeans Ave,Bay Minette,US,Arby's,36507,AL
2400 S McKenzie St,Foley,US,Krystal,36535,AL
621 Mcmeans Ave,Bay Minette,US,Taco Bell,36507,AL
3013 S Mckenzie St,Foley,US,Chick-fil-A,36535,AL
590 S Mineral St,Keyser,US,Domino's Pizza,26726,WV
3001 E Grand Ave,Laramie,US,Burger King,82070,WY
1007 Main St,Belmar,US,Dunkin' Donuts,7719,NJ
71 S Main St,Neptune,US,SUBWAY,7753,NJ
2506 Bridge Ave,Point Pleasant Beach,US,Dairy Queen,8742,NJ
256 Danner Rd Ste 1,Jim Thorpe,US,Quiznos,18229,PA
1931 Columbia Blvd,Bloomsburg,US,Wendy's,17815,PA
1434 N Susquehanna Trl,Hummels Wharf,US,Wendy's,17831,PA
8768 State Route 61,Coal Township,US,Burger King,17866,PA
80 Old Valley School Rd,Danville,US,McDonald's,17821,PA
616 N Main St,Crown Point,US,Wendy's,46307,IN
6172 Paradise Valley Rd,Cresco,US,Kasa's Pizza,18326,PA
6590 Harrison Ave,Cincinnati,US,McDonald's,45247,OH
6091 Limaburg Rd,Burlington,US,Skyline Chili,41005,KY
3201 Harrison Ave,Cincinnati,US,White Castle,45211,OH
5341 Glenway Ave,Cincinnati,US,McDonald's,45238,OH
5460 N Bend Rd,Cincinnati,US,Wendy's,45247,OH
306 Richwood Rd,Walton,US,McDonald's,41094,KY
1739 Patrick Dr,Burlington,US,Wendy's,41005,KY
5985 Centennial Cir,Florence,US,McDonald's,41042,KY
1715 Burlington Pike,Burlington,US,Arby's,41005,KY
8101 US Highway 42,Florence,US,White Castle,41042,KY
7909 Dream St,Florence,US,McDonald's,41042,KY
6243 Glenway Ave,Cincinnati,US,Wendy's,45211,OH
10080 Sam Neace Dr,Florence,US,SONIC Drive In,41042,KY
895 West Eads Parkway,Lawrenceburg,US,Arby's,47025,IN
7900 Colerain Ave,Cincinnati,US,Arby's,45239,OH
7142 Reading Rd,Cincinnati,US,McDonald's,45237,OH
8240 Vine St,Cincinnati,US,Wendy's,45216,OH
2507 W Clifton Ave,Cincinnati,US,Chipotle Mexican Grill,45219,OH
15 Donnermeyer Dr,Bellevue,US,McDonald's,41073,KY
1 Levee Way,Newport,US,Dewey's Pizza,41071,KY
2500 Highland Ave,Cincinnati,US,Taco Bell,45219,OH
5500 Colerain Ave,Cincinnati,US,Taco Bell,45239,OH
842 Eastgate South Dr,Cincinnati,US,Long John Silver's,45245,OH
3912 Winston Ave,Latonia,US,Gold Star Chili,41015,KY
10197 Colerain Ave,Cincinnati,US,Skyline Chili,45251,OH
7400 Vine St,Cincinnati,US,White Castle,45216,OH
8234 Colerain Ave,Cincinnati,US,Wendy's,45239,OH
5425 N Bend Rd,Cincinnati,US,McDonald's,45247,OH
504 W 4th St,Covington,US,Gold Star Chili,41011,KY
290 N Il Route 31,Crystal Lake,US,Wendy's,60012,IL
1483 N Main St,Crown Point,US,Taco Bell,46307,IN
135 N Main St,Crown Point,US,McDonald's,46307,IN
3050 Dixie Hwy,Erlanger,US,McDonald's,41018,KY
7781 Montgomery Rd,Cincinnati,US,Taco Bell,45236,OH
8359 Ocean Gateway,Easton,US,Arby's,21601,MD
8657 Winton Rd,Cincinnati,US,Arby's,45231,OH
8061 Holiday Pl,Florence,US,Arby's,41042,KY
3098 Dixie Hwy,Erlanger,US,Taco Bell,41018,KY
1331 NW Washington Blvd,Hamilton,US,McDonald's,45013,OH
3100 Dixie Hwy,Erlanger,US,Burger King,41018,KY
912 W Galbraith Rd,Cincinnati,US,Wendy's,45231,OH
7425 Tylersville Rd,West Chester,US,Jack in the Box,45069,OH
2101 N Verity Pkwy,Middletown,US,Taco Bell,45042,OH
5909 Muhlhauser Rd,West Chester,US,Wendy's,45069,OH
7289 Kenwood Rd,Cincinnati,US,Wendy's,45236,OH
1206 Belmont Ave,Centralia,US,Arby's,98531,WA
14041 N Cleveland Ave,North Fort Myers,US,Taco Bell,33903,FL
3026 S Business Drive,Sheboygan,US,Taco Bell,53081,WI
2307 North Ave,Sheboygan,US,McDonald's,53083,WI
2101 Morse Street,Janesville,US,Arby's,53545,WI
641 E Kirby Ln,Spanish Fork,US,Taco Time,84660,UT
328 E Hanes Mill Rd,Winston Salem,US,Chick-fil-A,27105,NC
1204 N Royal Ave,Front Royal,US,Arby's,22630,VA
1097 Lincoln Way E,Chambersburg,US,Long John Silver's,17201,PA
9958 Hutchison Blvd,Panama City Beach,US,Krystal,32407,FL
1047 Indianapolis Rd,Greencastle,US,Arby's,46135,IN
909 Robert Raymond Dr,Lake Saint Louis,US,Arby's,63367,MO
766 W Pearce Blvd,Wentzville,US,McDonald's,63385,MO
3064 Warrior River Road,Bessemer,US,Taco Bell,35023,AL
2323 Crest View Dr,Hudson,US,Taco Bell,54016,WI
5704 NW Expressway,Oklahoma City,US,Taco Bell,73132,OK
17855 Halsted St,Homewood,US,Boston Market,60430,IL
25 Main Street,Dawsonville,US,Bojangles' Famous Chicken 'n Biscuits,30534,GA
12649 Memorial Dr,Houston,US,Domino's Pizza,77024,TX
2902 N Shepherd Dr,Houston,US,Five Guys,77008,TX
13270 Northwest Fwy,Houston,US,Whataburger,77040,TX
7750 W Tidwell Rd,Houston,US,KFC,77040,TX
1286 Main St.,Hamilton,US,Gold Star Chili,45013,OH
54 Grandin Rd,Maineville,US,Wendy's,45039,OH
1130 Harrison Ave,Centralia,US,Jack in the Box,98531,WA
1120 Belmont Ave,Centralia,US,Taco Bell,98531,WA
8672 Pulaski Highway,Rosedale,US,Arby's,21237,MD
13343 Washington Ave,Sturtevant,US,McDonald's,53177,WI
5099 Murfreesboro Rd,La Vergne,US,Burger King,37086,TN
8036 FM 2673,Canyon Lake,US,McDonalds,78133,TX
522 Waldron Road,La Vergne,US,Krystal,37086,TN
1838 W State Highway 46,New Braunfels,US,Taco Bell,78132,TX
2445 Williams Blvd,Kenner,US,KFC,70062,LA
6403 Long Beach Blvd,Beach Haven,US,Custard Hut & Pizza,8008,NJ
8130 Rushing Rd,Denham Springs,US,Arby's,70726,LA
13605 Northdale Blvd,Rogers,US,Culver's,55374,MN
91200 Overseas Hwy,Tavernier,US,SUBWAY,33070,FL
82201 Overseas Hwy,Islamorada,US,Burger King,33036,FL
2001 E 53 St,Anderson,US,Arby's,46013,IN
3851 Elm St,Saint Charles,US,SONIC Drive In,63301,MO
1575 Jungermann Rd,Saint Peters,US,Burger King,63376,MO
2005 E 25 St,Columbus,US,Arby's,47201,IN
1152 Indianapolis Rd,Greencastle,US,Taco Bell,46135,IN
940 Indianapolis Rd,Greencastle,US,McDonald's,46135,IN
1018 Indianapolis Rd,Greencastle,US,Wendy's,46135,IN
2951 Veterans Memorial Pkwy,Saint Charles,US,Captain D's,63303,MO
4865 Mexico Rd,Saint Peters,US,Jimmy John's,63376,MO
272 Mid Rivers Ctr,Saint Peters,US,Subway,63376,MO
225 Mid Rivers Mall Dr,Saint Peters,US,Arby's,63376,MO
78 Hilltop Trl,Eureka,US,White Castle,63025,MO
2675 Highway K,O Fallon,US,Dairy Queen,63368,MO
1001 N Main St,O Fallon,US,McDonald's,63366,MO
399 Main St,Saint Peters,US,Burger King,63376,MO
2218 Crest View Dr,Hudson,US,Wendy's,54016,WI
2401 Gateway Ct,Hudson,US,Arby's,54016,WI
710 11th St S,Hudson,US,Taco John's,54016,WI
2411 Crest View Dr,Hudson,US,McDonald's,54016,WI
1099 Wayne Ave,Chambersburg,US,Arby's,17201,PA
1626 Madison St,Clarksville,US,Chick-fil-A,37043,TN
1602 W University Dr,Edinburg,US,Jack in the Box,78539,TX
105 W Palma Vista Dr,Mission,US,Jack in the Box,78572,TX
425 SE 1st Ave,Homestead,US,McDonald's,33034,FL
2121 Highway 146,Liberty,US,McDonald's,77575,TX
1221 Highway 157 N,Mansfield,US,Whataburger,76063,TX
5304 River Oaks Blvd,Fort Worth,US,Taco Bell,76114,TX
1515 N I35,Waco,US,SONIC Drive In,76705,TX
1690 Highway 72 E,Huntsville,US,KFC,35811,AL
3630 E Andrew Johnson Hwy,Greeneville,US,Dairy Queen,37745,TN
4402 Teckla Blvd,Amarillo,US,McDonald's,79109,TX
715 Lakeside Dr,Amarillo,US,McDonald's,79118,TX
200 W Marshall Ave,Longview,US,Taco Bell,75601,TX
1018 Frontage Rd.,Alamo,US,McDonald's,78516,TX
1681 State Highway 100,Port Isabel,US,Burger King,78578,TX
3509 Padre Blvd,South Padre Island,US,Whataburger,78597,TX
1902 S 77 Sunshine Strip,Harlingen,US,Burger King,78550,TX
310 Highway 36 South,Caldwell,US,SONIC Drive In,77836,TX
613 N Ed Carey Dr,Harlingen,US,Whataburger,78550,TX
104 Highway 17 S,North Myrtle Beach,US,Papa John's Pizza,29582,SC
15225 SE McLoughlin Blvd,Portland,US,Burger King,97267,OR
8257 E Main St,Ridgeland,US,Burger King,29936,SC
8146 E Main St,Ridgeland,US,KFC,29936,SC
8480 Grahamville Rd,Ridgeland,US,Wendy's,29936,SC
1295 Ribaut Rd,Beaufort,US,Burger King,29902,SC
8994 University Blvd,Charleston,US,Waffle House,29406,SC
3710 Rivers Ave,North Charleston,US,McDonald's,29405,SC
3575 Maybank Hwy,Johns Island,US,McDonald's,29455,SC
10009 Dorchester Rd,Summerville,US,Waffle House,29485,SC
691 Long Point Road,Mount Pleasant,US,SONIC Drive In,29464,SC
955 Bacons Bridge Rd,Summerville,US,Burger King,29485,SC
1601 Old Trolley Rd,Summerville,US,Burger King,29485,SC
1611 18th St,Springfield,US,Burger King,97477,OR
1125 South 4th Street,Hartsville,US,Bojangles' Famous Chicken 'n Biscuits,29550,SC
1600 E Pine St,Central Point,US,Taco Bell,97502,OR
8121 Warren H Abernathy Hwy,Spartanburg,US,Waffle House,29301,SC
1459 Wo Ezell Blvd,Spartanburg,US,KFC,29301,SC
3230 Gateway St,Springfield,US,KFC,97477,OR
1657 Mohawk Blvd,Springfield,US,Subway,97477,OR
807 South 4th Street,Hamburg,US,Arby's,19526,PA
908 6th Ave SE,Aberdeen,US,Burger King,57401,SD
4890 Perkiomen Ave,Reading,US,Burger King,19606,PA
522 S Main St,Aberdeen,US,Domino's Pizza,57401,SD
2810 W Main Street,Rapid City,US,Taco John's,57702,SD
2223 W Main St,Rapid City,US,McDonald's,57702,SD
2610 Lazelle St,Sturgis,US,Burger King,57785,SD
2110 N Lacrosse St,Rapid City,US,Burger King,57701,SD
1002 E North St,Rapid City,US,Burger King,57701,SD
219 Main Gate Rd,Box Elder,US,Domino's Pizza,57719,SD
5509 Bendt Dr Ste 103,Rapid City,US,Domino's Pizza,57702,SD
128 E North St,Rapid City,US,Domino's Pizza,57701,SD
1911 Haines Ave,Rapid City,US,Wendy's,57701,SD
2703 Lazelle St,Sturgis,US,Dairy Queen,57785,SD
1015 Eglin St,Rapid City,US,Culver's,57701,SD
711 Jackson Blvd,Rapid City,US,Burger King,57702,SD
1725 W Owen K Garriott Rd,Enid,US,Taco Bueno,73703,OK
2230 E Main St,Cushing,US,McDonald's,74023,OK
3401 E 10th St,Sioux Falls,US,KFC,57103,SD
4407 E 26th St,Sioux Falls,US,Burger King,57103,SD
1935 Old Edisto Dr,Orangeburg,US,Arby's,29115,SC
746 John C Calhoun Dr,Orangeburg,US,Wendy's,29115,SC
706 John C Calhoun Dr,Orangeburg,US,McDonald's,29115,SC
532 E Anamosa St,Rapid City,US,Subway,57701,SD
800 Mountain View Rd,Rapid City,US,Subway,57702,SD
2121 W Main St,Rapid City,US,Culver's,57702,SD
741 Mountain View Rd,Rapid City,US,Qdoba Mexican Eats,57702,SD
751 Cathedral Dr,Rapid City,US,Wendy's,57701,SD
520 Mountain View Rd,Rapid City,US,Wendy's,57702,SD
2323 W Main St,Rapid City,US,Taco Bell,57702,SD
230 S Splitrock Blvd,Brandon,US,Dairy Queen,57005,SD
1702 Mount Rushmore Rd,Rapid City,US,Dairy Queen,57701,SD
3535 Canyon Lake Dr,Rapid City,US,Dairy Queen,57702,SD
1620 Campbell,Rapid City,US,Arby's,57701,SD
454 Murfreesboro Pike,Nashville,US,Burger King,37210,TN
5925 28th St SE,Grand Rapids,US,Jimmy John's,49546,MI
4515 Perkiomen Avenue,Reading,US,SONIC Drive In,19606,PA
2351 Lazelle St,Sturgis,US,McDonald's,57785,SD
4940 Brownsboro Rd,Louisville,US,McDonald's,40222,KY
5130 Clairton Blvd,Pittsburgh,US,KFC,15236,PA
1306 Memorial Blvd,Connellsville,US,KFC,15425,PA
5440 Hwy 153,Hixson,US,McDonald's,37343,TN
1028 Northern Blvd,Clarks Summit,US,Burger King,18411,PA
980 Schechter Dr,Wilkes Barre,US,Wendy's,18702,PA
900 Wilkes Barre Township Blvd,Wilkes Barre,US,McDonald's,18702,PA
150 East Hampton,Wilkes Barre,US,McDonald's,18701,PA
571 Susquehanna Blvd,Hazleton,US,McDonalds,18202,PA
80 S Wyoming Ave,Kingston,US,McDonald's,18704,PA
525 Cummings St,Abingdon,US,McDonald's,24210,VA
55 S Wyoming Ave,Kingston,US,Wendy's,18704,PA
100 Charles E Brooks Jr Way,Kingsport,US,Taco Bell,37660,TN
523 Wyoming Ave,Kingston,US,KFC,18704,PA
1888 S Congress Parkway,Athens,US,Bojangles' Famous Chicken 'n Biscuits,37303,TN
1020 Old Airport Road,Bristol,US,Bojangles' Famous Chicken 'n Biscuits,24201,VA
2675 Apd 40,Cleveland,US,Taco Bell,37323,TN
130 S Wyoming Ave,Kingston,US,Burger King,18704,PA
160 Brooklyn St,Carbondale,US,McDonald's,18407,PA
693 Carey Ave,Wilkes Barre,US,Burger King,18706,PA
461 Memorial Hwy,Dallas,US,Wendy's,18612,PA
301 Kennedy Blvd,Pittston,US,Burger King,18640,PA
4071 Covington Hwy,Decatur,US,Wendy's,30032,GA
370 Colman St,New London,US,Wendy's,6320,CT
2210 N Alexander Dr,Baytown,US,Jack in the Box,77520,TX
195 Route 12,Groton,US,Taco Bell,6340,CT
429 Colman St,New London,US,Burger King,6320,CT
557 Long Hill Rd,Groton,US,Burger King,6340,CT
331 S Main St,Shenandoah,US,Burger King,17976,PA
2304 E 23rd Street,Chattanooga,US,Krystal,37408,TN
2211 W Market St,Pottsville,US,Burger King,17901,PA
507 Lovell Rd,Knoxville,US,Waffle House,37922,TN
400 Illinois Ave,Oak Ridge,US,McDonald's,37830,TN
1605 Schaeffer Rd,Knoxville,US,Burger King,37932,TN
1917 Roane State Highway,Harriman,US,Bojangles' Famous Chicken 'n Biscuits,37748,TN
1407 Winfield Dunn Pkwy,Sevierville,US,Taco Bell,37876,TN
1487 Interstate Dr,Crossville,US,Arby's,38555,TN
1195 N Main St,Crossville,US,McDonald's,38555,TN
425 N Sanborn Blvd,Mitchell,US,Domino's Pizza,57301,SD
17422 Hwy 9 SE,Snohomish,US,McDonald's,98296,WA
15802 Bear Creek Pkwy,Redmond,US,KFC,98052,WA
11747 124th Ave NE,Kirkland,US,KFC,98034,WA
555 NW Gilman Blvd,Issaquah,US,KFC,98027,WA
620 E Heron St,Aberdeen,US,Burger King,98520,WA
4000 Wheaton Way,Bremerton,US,KFC,98310,WA
601 High St,Mount Holly,US,Taco Bell,8060,NJ
1520 Wilmington Dr Ste C2,Dupont,US,Quiznos,98327,WA
2250 E Grand Ave,Lake Villa,US,McDonald's,60046,IL
21007 Hwy 410,Bonney Lake,US,McDonald's,98391,WA
321 Washington Ave N,Orting,US,McDonald's,98360,WA
506 E Wheeler Rd,Moses Lake,US,Jack in the Box,98837,WA
6735 Dixie Hwy,Fairfield,US,Arby's,45014,OH
716 E Yakima Ave,Yakima,US,Taco Bell,98901,WA
2949 Dixie Hwy,Hamilton,US,Frisch's Big Boy,45015,OH
1771 S Erie Hwy,Hamilton,US,McDonald's,45011,OH
1600 E Chestnut Ave,Yakima,US,McDonald's,98901,WA
3907 Tieton Dr,Yakima,US,Jack in the Box,98902,WA
3605 Old Halifax Road,South Boston,US,Bojangles' Famous Chicken 'n Biscuits,24592,VA
2461 S Maiers Rd,Moses Lake,US,Burger King,98837,WA
5252 Capitol Blvd SE,Olympia,US,Burger King,98501,WA
874 Eastgate North Dr,Cincinnati,US,Chick-fil-A,45245,OH
10890 New Haven Rd,Harrison,US,Arby's,45030,OH
2120 N Argonne Rd,Spokane,US,Burger King,99212,WA
15330 E Sprague Ave,Veradale,US,KFC,99037,WA
4955 Brownsboro Rd,Louisville,US,Wendy's,40222,KY
4948 Us Hwy 42,Louisville,US,Arby's,40222,KY
1200 Highway 33 S,Cloquet,US,Taco John's,55720,MN
2350 W Washington St,West Bend,US,Culver's,53090,WI
1402 Highway 33 S,Cloquet,US,Dairy Queen,55720,MN
651 W Main St,Waunakee,US,McDonald's,53597,WI
1017 Woodward Ave,Chippewa Falls,US,KFC,54729,WI
1456 Kennedy Rd,Chippewa Falls,US,Arby's,54729,WI
6746 W Greenfield Ave,Milwaukee,US,Burger King,53214,WI
2626 S 108th St,Milwaukee,US,Burger King,53227,WI
477 Spruce St,River Falls,US,Jimmy John's,54022,WI
3110 South 8th Street,Wisconsin Rapids,US,Arby's,54494,WI
7445 71st Ave N,Minneapolis,US,Wendy's,55428,MN
2411 Center Dr,Hudson,US,Burger King,54016,WI
