address,city,country,name,postalCode,province
8401 Gateway Blvd W Ste M4,El Paso,US,McDonalds,79925,TX
450 N Harrison Ave,Shawnee,US,SONIC Drive In,74801,OK
9455 SW Barbur Blvd,Portland,US,Taco Time,97219,OR
351 River Hill Dr,Ashland,US,McDonald's,41101,KY
18000 Bagley Rd,Cleveland,US,Burger King,44130,OH
3700 N 1st Ave,Evansville,US,McDonald's,47710,IN
895 N Highway 77 Ste 300,Waxahachie,US,Jimmy John's,75165,TX
819 SW 19th St,Oklahoma City,US,Domino's Pizza,73160,OK
95-1249 Meheula Parkway,,Mililani,US,Jersey Mike's Subs,96789,HI
1625 Veterans Pkwy,Jeffersonville,US,Popeyes Louisiana Kitchen,47130,IN
2730 S Hurstbourne Pkwy Suite 100,Louisville,US,Qdoba Mexican Grill,40220,KY
5680 Commercial St SE Ste 100,Salem,US,Domino's Pizza,97306,OR
2870 W Loop 1604 S,San Antonio,US,Whataburger,78245,TX
1321 Herr Ln Ste 150,Louisville,US,Qdoba Mexican Grill,40222,KY
100 Northside Dr,Bennington,US,Taco Bell,5201,VT
6611 S Mo Pac Expy Ste B,Austin,US,Whataburger,78749,TX
9300 S Interstate 35 Bldg H,Austin,US,Whataburger,78748,TX
315 N Stephenson Ave,Iron Mountain,US,Hardee's,49801,MI
2439 Springs Rd NE,Hickory,US,McDonald's,28601,NC
9651 Natural Bridge Rd,Saint Louis,US,Rally's,63134,MO
1665 Dove Park Rd Ste 300,Mandeville,US,Quiznos,70471,LA
225 Grant Ave,Auburn,US,Burger King,13021,NY
5400 FM 1640 Rd Ste 500,Richmond,US,Whataburger,77469,TX
2448 University Ave,Green Bay,US,Domino's Pizza,54302,WI
111 Commons Dr,Maumelle,US,SONIC Drive In,72113,AR
344 S Service Rd E,Sullivan,US,Taco Bell,63080,MO
6490 Memphis Arlington Rd Ste 103,Memphis,US,Domino's Pizza,38135,TN
2124 S 1st St,Yakima,US,Taco Bell,98903,WA
482 Branson Landing Blvd Ste 105,Branson,US,Jimmy John's,65616,MO
406 S Thompson St,Springdale,US,Taco Bell,72764,AR
5094 Murfreesboro Rd Ste 1,La Vergne,US,Domino's Pizza,37086,TN
801 S Vaughn Dr,Brusly,US,McDonald's,70719,LA
5100 NC Highway 87 S Ste 102,Fayetteville,US,Domino's Pizza,28306,NC
Co-Op City,Bronx,US,Burger King,10475,NY
3898 Cleveland Hwy,Dalton,US,McDonalds,30721,GA
1865 Blankenship Rd,West Linn,US,Jack in the Box,97068,OR
825 W 1100 S,Brigham City,US,Sonic Drive-In,84302,UT
955 S Main St,Brigham City,US,Taco Bell,84302,UT
875 W 1150 S,Brigham City,US,Subway,84302,UT
524 Indian Boundary Rd,Chesterton,US,Jimmy John's,46304,IN
801 University St,Martin,US,McDonald's,38237,TN
2505 State Rd,La Crosse,US,Hardee's,54601,WI
1610 Sycamore View Rd,Memphis,US,McDonald's,38134,TN
2437 George St,La Crosse,US,McDonald's,54603,WI
813 N Central Ave,Marshfield,US,Taco John's,54449,WI
1101 N Central Ave,Marshfield,US,McDonald's,54449,WI
4601 Northfield Rd,Cleveland,US,Mr Hero,44128,OH
1601 W Lincoln Ave,Yakima,US,McDonald's,98902,WA
5706 W 7800 S,West Jordan,US,McDonald's,84081,UT
1014 Highway 82 E,Indianola,US,Taco Bell,38751,MS
640 Huebner Rd,Fort Riley,US,Domino's Pizza,66442,KS
1418 W Sunset Blvd,Saint George,US,Taco Bell,84770,UT
610 E Saint George Blvd,Saint George,US,Taco Bell,84770,UT
4651 W 6th St,Lawrence,US,Pizza Hut,66049,KS
5540 Old Cheney Rd,Lincoln,US,Amigos/Kings Classic,68516,NE
7501 W 135th St,Overland Park,US,Raising Cane's Chicken Fingers,66223,KS
4204 Milan Rd,Sandusky,US,McDonalds,44870,OH
6300 Gulf Fwy,La Marque,US,Whataburger,77568,TX
1302 Highway 35 N,Rockport,US,McDonald's,78382,TX
3515 Springdale Rd,Cincinnati,US,Domino's Pizza,45251,OH
7720 Laurel Ave,Cincinnati,US,Domino's Pizza,45243,OH
123 Creekside Xing,New Braunfels,US,Whataburger,78130,TX
793 Roosevelt Trl,Windham,US,Burger King,4062,ME
14700 E Indiana Ave,Spokane,US,Taco Time,99216,WA
201 Commerce Dr,Jefferson City,US,SONIC Drive In,65109,MO
3124 S Ten Mile Dr,Jefferson City,US,McDonald's,65109,MO
1417 Jackson Ave W,Oxford,US,Coop DeVille,38655,MS
2984 Upland Pkwy,Sidney,US,McDonalds,69162,NE
1002 J St,Auburn,US,Amigos/Kings Classic,68305,NE
191 7th St,Garden City,US,B. Good,11530,NY
544 Conestoga Pkwy,Shepherdsville,US,Domino's Pizza,40165,KY
101 Smith Rd,Glasgow,US,McDonald's,42141,KY
5212 Jackson St,Alexandria,US,Sonic Drive-In,71303,LA
131 S Highway 27,Somerset,US,McDonald's,42501,KY
1511 C Goff Blvd S W Plaza Rio Shpg Ctr,Albuquerque,US,Domino's Pizza,87105,NM
4800 Frederica St,Owensboro,US,McDonald's,42301,KY
300 W Esplanade Ave,Kenner,US,Burger King,70065,LA
5963 W Main St,Houma,US,Sonic Drive-In,70360,LA
7849 Tramway Blvd NE Ste D,Albuquerque,US,Domino's Pizza,87122,NM
400 Clifty Dr,Madison,US,Rally's,47250,IN
1228 Saint Charles St,Houma,US,Taco Bell,70360,LA
725 Sterlington Hwy,Farmerville,US,Taco Bell,71241,LA
1088 Westbank Expy,Westwego,US,Pizza Hut,70094,LA
1000 Government St,Baton Rouge,US,Sonic Drive-In,70802,LA
314 E Carpenter St,Cleveland,US,Back Yard Burgers,38732,MS
120 S Davis Ave,Cleveland,US,McDonald's,38732,MS
1231 Holcomb Blvd,Camp Lejeune,US,Wendy's,28547,NC
112 E 2nd St,Duluth,US,Domino's Pizza,55805,MN
976 William H Wilson Ave Ste 100,Fort Stewart,US,Burger King,31314,GA
2910 Lurleen B Wallace Blvd,Northport,US,Sonic Drive-In,35476,AL
2441 James St,Coralville,US,Domino's Pizza,52241,IA
602 Highway 31 SW,Hartselle,US,Taco Bell,35640,AL
107 Jordan Plz,Elizabeth City,US,Domino's Pizza,27909,NC
905 W Corbett Ave,Swansboro,US,McDonalds,28584,NC
2001 Sutton Ln,Sutton,US,Arby's,26601,WV
161 Church St,Burlington,US,Pacific Rim,5401,VT
3716 7th St,Bay City,US,Taco Bell,77414,TX
443 Killian Rd,Columbia,US,Panda Express,29203,SC
122 Hayward Ave,Ames,US,Domino's Pizza,50014,IA
1306 Scotland Crossing Dr,Laurinburg,US,Taco Bell,28352,NC
1700 Norman Dr Spc 1056,Valdosta,US,Chick-fil-A,31601,GA
502 W Columbia Ave,Batesburg,US,Hardee's,29006,SC
4965 Centre Pointe Dr,North Charleston,US,Domino's Pizza,29418,SC
2441 Northgate St,Ottumwa,US,McDonald's,52501,IA
903 E Milam St,Mexia,US,McDonald's,76667,TX
5131 Government St,Baton Rouge,US,Captain D's,70806,LA
4021 Interstate Highway 69 Access Rd,Corpus Christi,US,Whataburger,78410,TX
839 E Mulberry St,Angleton,US,Jack in the Box,77515,TX
3900 University Pkwy,Natchitoches,US,Sonic Drive-In,71457,LA
1855 Main Ave N,Tillamook,US,McDonald's,97141,OR
400 Downs Blvd Ste 100,Franklin,US,Domino's Pizza,37064,TN
808 E Liberty St,Mexico,US,SONIC Drive In,65265,MO
701 E Main St,Park Hills,US,SONIC Drive In,63601,MO
3039 W Peoria Ave,Phoenix,US,Samurai Sam's,85029,AZ
324 W Bypass,Andalusia,US,Arby's,36420,AL
1411 Q St,Lincoln,US,Amigos/Kings Classic,68508,NE
525 W Crawford St,Clay Center,US,SONIC Drive In,67432,KS
